omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	Manual enter from File Directory	"Dropdown with Graded Level, processor manually enters name"		TBD			yes/no					checkbox tracking if found data has been received	Drop down or Checkbox with specific descriptions of data	"dated entries, manually entered with category selectable as a note type"	Dropdown	Dropdown	Dropdown		"Info pulled up when County/Town selected, dropdown selection"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"										"Info pulled up when County/Town selected, manually entered"		"needs to be merged with data from column A, will be dropdown"	dropdown with options	Dropdown with options				"Info pulled up when County/Town selected, drop down of types of depts that run GIS"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	manually entered	"dated entries, manually entered with category selectable as a note type"	dropdown with options	Manually entered	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	manually entered field		omitted from tool	omitted from tool	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	omitted from tool
																							Alabama	Baldwin	Fairhope																																																						
																							Alabama	Baldwin	Foley																																																						
																							Alabama	Baldwin	Gulf Shores																																																						
																							Alabama	Baldwin	Loxley																																																						
																							Alabama	Baldwin	Magnolia Springs																																																						
																							Alabama	Baldwin	Orange Beach																																																						
																							Alabama	Baldwin	Perdido Beach																																																						
																							Alabama	Baldwin	Robertsdale																																																						
																							Alabama	Baldwin	Silverhill																																																						
																							Alabama	Baldwin	Spanish Fort																																																						
																							Alabama	Baldwin	Summerdale																																																						
																							Alabama	Barbour				1	5			27232		#DIV/0!	324	https://www.zillow.com/barbour-county-al/	247	http://www.homes.com/for-sale/barbour-county-al/						http://www.alabamagis.com/Barbour/Frameset.cfm																																			
																							Alabama	Barbour	Bakerhill																																																						
																							Alabama	Barbour	Blue Springs																																																						
																							Alabama	Barbour	Clayton																																																						
																							Alabama	Barbour	Clio																																																						
																							Alabama	Barbour	Eufaula																																																						
																							Alabama	Barbour	Louisville																																																						
																							Alabama	Bibb				1	7			22662		#DIV/0!	102	https://www.zillow.com/bibb-county-al/	66	http://www.homes.com/for-sale/bibb-county-al/						http://www.alabamagis.com/Bibb/frameset.cfm?cfid=826932&cftoken=45044680																																			
																							Alabama	Bibb	Brent																																																						
																							Alabama	Bibb	West Blocton																																																						
																							Alabama	Bibb	Woodstock																																																						
																							Alabama	Blount				1	9			57807		#DIV/0!	579	https://www.zillow.com/blount-county-al/	253	http://www.homes.com/for-sale/blount-county-al/						http://isv.kcsgis.com/al.blount_revenue/																																			
																							Alabama	Blount	Allgood																																																						
																							Alabama	Blount	Blountsville																																																						
																							Alabama	Blount	Cleveland																																																						
																							Alabama	Blount	County Line																																																						
																							Alabama	Blount	Hayden																																																						
																							Alabama	Blount	Highland Lake																																																						
																							Alabama	Blount	Locust Fork																																																						
																							Alabama	Blount	Nectar																																																						
																							Alabama	Blount	Oneonta																																																						
																							Alabama	Blount	Rosa																																																						
																							Alabama	Blount	Snead																																																						
																							Alabama	Blount	Susan Moore																																																						
																							Alabama	Bullock				1	11			10605		#DIV/0!	40	https://www.zillow.com/bullock-county-al/	7	http://www.homes.com/for-sale/bullock-county-al/						http://isv.kcsgis.com/al.bullock_revenue/																																			
																							Alabama	Bullock	Midway																																																						
																							Alabama	Bullock	Union Springs																																																						
																							Alabama	Butler				1	13			20384		#DIV/0!	177	https://www.zillow.com/butler-county-al/	132	http://www.homes.com/for-sale/butler-county-al/						http://www.alabamagis.com/Butler/frameset.cfm																																			
																							Alabama	Butler	Georgiana																																																						
																							Alabama	Butler	Greenville																																																						
																							Alabama	Butler	McKenzie																																																						
																							Alabama	Calhoun				1	15			117253		#DIV/0!	1206	https://www.zillow.com/calhoun-county-al/	1258	http://www.homes.com/for-sale/calhoun-county-al/						http://gis.calhouncounty.org/ParcelViewer/																																			
																							Alabama	Calhoun	Anniston																																																						
																							Alabama	Calhoun	Jacksonville																																																						
																							Alabama	Calhoun	Ohatchee																																																						
																							Alabama	Calhoun	Oxford																																																						
																							Alabama	Calhoun	Piedmont																																																						
																							Alabama	Calhoun	Weaver																																																						
																							Alabama	Chambers				1	17			34074		#DIV/0!	313	https://www.zillow.com/chambers-county-al/	266	http://www.homes.com/for-sale/chambers-county-al/						http://www.alabamagis.com/Chambers/frameset.cfm																																			
																							Alabama	Chambers	Cusseta																																																						
																							Alabama	Chambers	Five Points																																																						
																							Alabama	Chambers	La Fayette																																																						
																							Alabama	Chambers	Lanett																																																						
																							Alabama	Chambers	Valley																																																						
																							Alabama	Chambers	Waverly																																																						
																							Alabama	Cherokee				1	19			26056		#DIV/0!	607	https://www.zillow.com/cherokee-county-al/	572	http://www.homes.com/for-sale/cherokee-county-al/						http://www.alabamagis.com/Cherokee/frameset.cfm																																			
																							Alabama	Cherokee	Anderson																																																						
																							Alabama	Cherokee	Cedar Bluff																																																						
																							Alabama	Cherokee	Centre																																																						
																							Alabama	Cherokee	Gaylesville																																																						
																							Alabama	Cherokee	Leesburg																																																						
																							Alabama	Cherokee	Sand Rock																																																						
																							Alabama	Chilton				1	21			43800		#DIV/0!	605	https://www.zillow.com/chilton-county-al/	369	http://www.homes.com/for-sale/chilton-county-al/						http://www.alabamagis.com/Chilton/frameset.cfm																																			
																							Alabama	Chilton	Clanton																																																						
																							Alabama	Chilton	Fairview																																																						
																							Alabama	Chilton	Jemison																																																						
																							Alabama	Chilton	Maplesville																																																						
																							Alabama	Chilton	Thorsby																																																						
																							Alabama	Choctaw				1	23			13585		#DIV/0!	5	https://www.zillow.com/choctaw-county-al/	4	http://www.homes.com/for-sale/choctaw-county-al/foreclosures/						http://www.alabamagis.com/Choctaw/frameset.cfm																																			
																							Alabama	Choctaw	Butler																																																						
																							Alabama	Choctaw	Gilbertown																																																						
																							Alabama	Choctaw	Lisman																																																						
																							Alabama	Choctaw	Needham																																																						
																							Alabama	Choctaw	Pennington																																																						
																							Alabama	Choctaw	Silas																																																						
																							Alabama	Choctaw	Toxey																																																						
																							Alabama	Clarke				1	25			25220		#DIV/0!	81	https://www.zillow.com/clarke-county-al/	13	http://www.homes.com/for-sale/clarke-county-al/						http://www.alabamagis.com/Clarke/frameset.cfm																																			
																							Alabama	Clarke	Coffeeville																																																						
																							Alabama	Clarke	Fulton																																																						
																							Alabama	Clarke	Grove Hill																																																						
																							Alabama	Clarke	Jackson																																																						
																							Alabama	Clarke	Thomasville																																																						
																							Alabama	Clay				1	27			13458		#DIV/0!	168	https://www.zillow.com/clay-county-al/	140	http://www.homes.com/for-sale/clay-county-al/						http://www.alabamagis.com/Clay/frameset.cfm																																			
																							Alabama	Clay	Lineville																																																						
																							Alabama	Cleburne				1	29			14885		#DIV/0!	119	https://www.zillow.com/cleburne-county-al/	77	http://www.homes.com/for-sale/cleburne-county-al/						http://www.alabamagis.com/Cleburne/frameset.cfm																																			
																							Alabama	Cleburne	Edwardsville																																																						
																							Alabama	Cleburne	Fruithurst																																																						
																							Alabama	Cleburne	Heflin																																																						
																							Alabama	Cleburne	Ranburne																																																						
																							Alabama	Coffee				1	31			51276		#DIV/0!	806	https://www.zillow.com/coffee-county-al/	566	http://www.homes.com/for-sale/coffee-county-al/						http://www.alabamagis.com/Coffee/frameset.cfm																																			
																							Alabama	Coffee	Elba																																																						
																							Alabama	Coffee	Enterprise																																																						
																							Alabama	Coffee	Kinston																																																						
																							Alabama	Coffee	New Brockton																																																						
																							Alabama	Colbert				1	33			54424		#DIV/0!	641	https://www.zillow.com/colbert-county-al/	605	http://www.homes.com/for-sale/colbert-county-al/						http://isv.kcsgis.com/al.colbert_revenue/																																			
																							Alabama	Colbert	Cherokee																																																						
																							Alabama	Colbert	Leighton																																																						
																							Alabama	Colbert	Littleville																																																						
																							Alabama	Colbert	Muscle Shoals																																																						
																							Alabama	Colbert	Sheffield																																																						
																							Alabama	Colbert	Tuscumbia																																																						
																							Alabama	Conecuh				1	35			13009		#DIV/0!	57	https://www.zillow.com/conecuh-county-al/	48	http://www.homes.com/for-sale/conecuh-county-al/						http://www.alabamagis.com/Conecuh/frameset.cfm																																			
																							Alabama	Conecuh	Castleberry																																																						
																							Alabama	Conecuh	Centreville																																																						
																							Alabama	Conecuh	Repton																																																						
																							Alabama	Coosa				1	37			11000		#DIV/0!	117	https://www.zillow.com/coosa-county-al/	77	http://www.homes.com/for-sale/coosa-county-al/						http://www.alabamagis.com/Coosa/Frameset.cfm																																			
																							Alabama	Coosa	Goodwater																																																						
																							Alabama	Coosa	Kellyton																																																						
																							Alabama	Coosa	Rockford																																																						
																							Alabama	Covington				1	39			37856		#DIV/0!	559	https://www.zillow.com/covington-county-al/	150	http://www.homes.com/for-sale/covington-county-al/						http://www.alabamagis.com/covington/frameset.cfm																																			
																							Alabama	Covington	Andalusia																																																						
																							Alabama	Covington	Babbie																																																						
																							Alabama	Covington	Carolina																																																						
																							Alabama	Covington	Florala																																																						
																							Alabama	Covington	Gantt																																																						
																							Alabama	Covington	Heath																																																						
																							Alabama	Covington	Horn Hill																																																						
																							Alabama	Covington	Libertyville																																																						
																							Alabama	Covington	Lockhart																																																						
																							Alabama	Covington	Onycha																																																						
																							Alabama	Covington	Opp																																																						
																							Alabama	Covington	Red Level																																																						
																							Alabama	Covington	River Falls																																																						
																							Alabama	Covington	Sanford																																																						
																							Alabama	Crenshaw				1	41			13981		#DIV/0!	83	https://www.zillow.com/crenshaw-county-al/	50	http://www.homes.com/for-sale/crenshaw-county-al/						http://www.alabamagis.com/Crenshaw/Frameset.cfm																																			
																							Alabama	Crenshaw	Brantley																																																						
																							Alabama	Crenshaw	Dozier																																																						
																							Alabama	Crenshaw	Glenwood																																																						
																							Alabama	Crenshaw	Luverne																																																						
																							Alabama	Crenshaw	Petrey																																																						
																							Alabama	Crenshaw	Rutledge																																																						
																							Alabama	Cullman				1	43			80409		#DIV/0!	944	https://www.zillow.com/cullman-county-al/	1303	http://www.homes.com/for-sale/cullman-county-al/						http://isv.kcsgis.com/al.cullman_revenue/																																			
																							Alabama	Cullman	Baileyton																																																						
																							Alabama	Cullman	Colony																																																						
																							Alabama	Cullman	Cullman																																																						
																							Alabama	Cullman	Dodge City																																																						
																							Alabama	Cullman	Garden City																																																						
																							Alabama	Cullman	Good Hope																																																						
																							Alabama	Cullman	Hanceville																																																						
																							Alabama	Cullman	Holly Pond																																																						
																							Alabama	Cullman	South Vinemont																																																						
																							Alabama	Dale				1	45			50348		#DIV/0!	397	https://www.zillow.com/dale-county-al/	261	http://www.homes.com/for-sale/dale-county-al/						http://www.alabamagis.com/Dale/frameset.cfm																																			
																							Alabama	Dale	Ariton																																																						
																							Alabama	Dale	Clayhatchee																																																						
																							Alabama	Dale	Daleville																																																						
																							Alabama	Dale	Grimes																																																						
																							Alabama	Dale	Level Plains																																																						
																							Alabama	Dale	Midland City																																																						
																							Alabama	Dale	Napier Field																																																						
																							Alabama	Dale	Newton																																																						
																							Alabama	Dale	Ozark																																																						
																							Alabama	Dale	Pinckard																																																						
																							Alabama	Dallas				1	47			42692		#DIV/0!	76	https://www.zillow.com/dallas-county-al/	28	http://www.homes.com/for-sale/dallas-county-al/						http://emaps.emapsplus.com/standard/dallascoal.html																																			
																							Alabama	Dallas	Brookwood																																																						
																							Alabama	Dallas	Orrville																																																						
																							Alabama	Dallas	Sardis City																																																						
																							Alabama	Dallas	Selma																																																						
																							Alabama	Dallas	Valley Grande																																																						
																							Alabama	De Kalb				1	49			70977		#DIV/0!	275	https://www.zillow.com/fort-payne-al/	654	http://www.homes.com/for-sale/dekalb-county-al/						http://www.alabamagis.com/Dekalb/frameset.cfm?cfid=826932&cftoken=45044680																																			
																							Alabama	De Kalb	Collinsville																																																						
																							Alabama	De Kalb	Crossville																																																						
																							Alabama	De Kalb	Fort Payne																																																						
																							Alabama	De Kalb	Fyffe																																																						
																							Alabama	De Kalb	Geraldine																																																						
																							Alabama	De Kalb	Hammondville																																																						
																							Alabama	De Kalb	Henagar																																																						
																							Alabama	De Kalb	Ider																																																						
																							Alabama	De Kalb	Mentone																																																						
																							Alabama	De Kalb	Pine Ridge																																																						
																							Alabama	De Kalb	Powell																																																						
																							Alabama	De Kalb	Rainsville																																																						
																							Alabama	De Kalb	Sylvania																																																						
																							Alabama	De Kalb	Valley Head																																																						
																							Alabama	Elmore				1	51			80417		#DIV/0!	1043	https://www.zillow.com/elmore-county-al/	987	http://www.homes.com/for-sale/elmore-county-al/						http://isv.kcsgis.com/al.elmore_revenue/																																			
																							Alabama	Elmore	Coosada																																																						
																							Alabama	Elmore	Deatsville																																																						
																							Alabama	Elmore	Eclectic																																																						
																							Alabama	Elmore	Elmore																																																						
																							Alabama	Elmore	Millbrook																																																						
																							Alabama	Elmore	Tallassee																																																						
																							Alabama	Elmore	Wetumpka																																																						
																							Alabama	Escambia				1	53			38070		#DIV/0!	396	https://www.zillow.com/escambia-county-al/	379	http://www.homes.com/for-sale/escambia-county-al/						http://www.alabamagis.com/escambia/frameset.cfm																																			
																							Alabama	Escambia	Atmore																																																						
																							Alabama	Escambia	Brewton																																																						
																							Alabama	Escambia	East Brewton																																																						
																							Alabama	Escambia	Flomaton																																																						
																							Alabama	Escambia	Pollard																																																						
																							Alabama	Escambia	Riverview																																																						
																							Alabama	Etowah				1	55			104311		#DIV/0!	1184	https://www.zillow.com/etowah-county-al/	999	http://www.homes.com/for-sale/etowah-county-al/						http://isv.kcsgis.com/al.etowah_revenue/																																			
																							Alabama	Etowah	Atloona																																																						
																							Alabama	Etowah	Attalla																																																						
																							Alabama	Etowah	Gadsden																																																						
																							Alabama	Etowah	Glencoe																																																						
																							Alabama	Etowah	Hokes Bluff																																																						
																							Alabama	Etowah	Rainbow City																																																						
																							Alabama	Etowah	Reece City																																																						
																							Alabama	Etowah	Ridgeville																																																						
																							Alabama	Etowah	Southside																																																						
																							Alabama	Fayette				1	57			17005		#DIV/0!	60	https://www.zillow.com/fayette-county-al/	124	http://www.homes.com/for-sale/fayette-county-al/						http://www.alabamagis.com/Fayette/Frameset.cfm																																			
																							Alabama	Fayette	Belk																																																						
																							Alabama	Fayette	Berry																																																						
																							Alabama	Fayette	Fayette																																																						
																							Alabama	Franklin				1	59			31685		#DIV/0!	206	https://www.zillow.com/franklin-county-al/	176	http://www.homes.com/for-sale/franklin-county-al/						http://emaps.emapsplus.com/standard/franklincoal.html																																			
																							Alabama	Franklin	Hodges																																																						
																							Alabama	Franklin	Phil Campbell																																																						
																							Alabama	Franklin	Red Bay																																																						
																							Alabama	Franklin	Russellville																																																						
																							Alabama	Franklin	Vina																																																						
																							Alabama	Geneva				1	61			26969		#DIV/0!	282	https://www.zillow.com/geneva-county-al/	206	http://www.homes.com/for-sale/geneva-county-al/						http://www.alabamagis.com/Geneva/frameset.cfm?cfid=826932&cftoken=45044680																																			
																							Alabama	Geneva	Black																																																						
																							Alabama	Geneva	Coffee Springs																																																						
																							Alabama	Geneva	Geneva																																																						
																							Alabama	Geneva	Hortford																																																						
																							Alabama	Geneva	Malvern																																																						
																							Alabama	Geneva	Samson																																																						
																							Alabama	Geneva	Slocomb																																																						
																							Alabama	Greene				1	63			8848		#DIV/0!	30	https://www.zillow.com/greene-county-al/	8	http://www.homes.com/for-sale/greene-county-al/						http://greene.tscmaps.com/al/greene/																																			
																							Alabama	Greene	Boligee																																																						
																							Alabama	Greene	Eutaw																																																						
																							Alabama	Greene	Forkland																																																						
																							Alabama	Greene	Union																																																						
																							Alabama	Hale				1	65			15420		#DIV/0!	103	https://www.zillow.com/hale-county-al/	37	http://www.homes.com/for-sale/hale-county-al/																																									
																							Alabama	Hale	Akron																																																						
																							Alabama	Hale	Greensboro																																																						
																							Alabama	Hale	Moundville																																																						
																							Alabama	Hale	Newbern																																																						
																							Alabama	Henry				1	67			17285		#DIV/0!	386	https://www.zillow.com/henry-county-al/	329	http://www.homes.com/for-sale/henry-county-al/						http://www.alabamagis.com/henry/frameset.cfm																																			
																							Alabama	Henry	Abbeville																																																						
																							Alabama	Henry	Haleburg																																																						
																							Alabama	Henry	Headland																																																						
																							Alabama	Henry	Newville																																																						
																							Alabama	Houston				1	69			103298		#DIV/0!	1476	https://www.zillow.com/houston-county-al/	1222	http://www.homes.com/for-sale/houston-county-al/						http://www.alabamagis.com/Houston/Frameset.cfm																																			
																							Alabama	Houston	Ashford																																																						
																							Alabama	Houston	Avon																																																						
																							Alabama	Houston	Columbia																																																						
																							Alabama	Houston	Cottonwood																																																						
																							Alabama	Houston	Cowarts																																																						
																							Alabama	Houston	Dothan																																																						
																							Alabama	Houston	Gordon																																																						
																							Alabama	Houston	Kinsey																																																						
																							Alabama	Houston	Madrid																																																						
																							Alabama	Houston	Rehobeth																																																						
																							Alabama	Houston	Taylor																																																						
																							Alabama	Houston	Webb																																																						
																							Alabama	Jackson				1	71			53048		#DIV/0!	484	https://www.zillow.com/jackson-county-al/	500	http://www.homes.com/for-sale/jackson-county-al/						http://www.alabamagis.com/Jackson/frameset.cfm																																			
																							Alabama	Jackson	Bridgeport																																																						
																							Alabama	Jackson	Dutton																																																						
																							Alabama	Jackson	Hollywood																																																						
																							Alabama	Jackson	Hytop																																																						
																							Alabama	Jackson	Langston																																																						
																							Alabama	Jackson	Paint Rock																																																						
																							Alabama	Jackson	Pisgah																																																						
																							Alabama	Jackson	Pleasant Grove																																																						
																							Alabama	Jackson	Pleasant Groves																																																						
																							Alabama	Jackson	Scottsboro																																																						
																							Alabama	Jackson	Section																																																						
																							Alabama	Jackson	Skyline																																																						
																							Alabama	Jackson	Stevenson																																																						
																							Alabama	Jackson	Woodville																																																						
																							Alabama	Jefferson				1	73			658327		#DIV/0!	6368	https://www.zillow.com/jefferson-county-al/	4868	http://www.homes.com/for-sale/jefferson-county-al/						http://jeffcogis.jccal.org/jeffcomaps/Default.aspx																																			
																							Alabama	Jefferson	Adamsville																																																						
																							Alabama	Jefferson	Bessemer																																																						
																							Alabama	Jefferson	Birmingham																																																						
																							Alabama	Jefferson	Brighton																																																						
																							Alabama	Jefferson	Brookside																																																						
																							Alabama	Jefferson	Cardiff																																																						
																							Alabama	Jefferson	Center Point																																																						
																							Alabama	Jefferson	Clay																																																						
																							Alabama	Jefferson	Fairfield																																																						
																							Alabama	Jefferson	Fultondale																																																						
																							Alabama	Jefferson	Gardendale																																																						
																							Alabama	Jefferson	Graysville																																																						
																							Alabama	Jefferson	Hoover																																																						
																							Alabama	Jefferson	Hueytown																																																						
																							Alabama	Jefferson	Irondale																																																						
																							Alabama	Jefferson	Kimberly																																																						
																							Alabama	Jefferson	Leeds																																																						
																							Alabama	Jefferson	Lipscomb																																																						
																							Alabama	Jefferson	Maytown																																																						
																							Alabama	Jefferson	Midfield																																																						
																							Alabama	Jefferson	Morris																																																						
																							Alabama	Jefferson	Mountain Brook																																																						
																							Alabama	Jefferson	Mulga																																																						
																							Alabama	Jefferson	North Johns																																																						
																							Alabama	Jefferson	Oak Grove																																																						
																							Alabama	Jefferson	Pinson																																																						
																							Alabama	Jefferson	Sylvan Springs																																																						
																							Alabama	Jefferson	Tarrant																																																						
																							Alabama	Jefferson	Trafford																																																						
																							Alabama	Jefferson	Trussville																																																						
																							Alabama	Jefferson	Vestavia Hills																																																						
																							Alabama	Jefferson	Warrior																																																						
																							Alabama	Jefferson	West Jefferson																																																						
																							Alabama	Lamar				1	75			14265		#DIV/0!	36	https://www.zillow.com/lamar-county-al/	34	http://www.homes.com/for-sale/lamar-county-al/						http://www.alabamagis.com/Lamar/Frameset.cfm																																			
																							Alabama	Lamar	Beaverton																																																						
																							Alabama	Lamar	Detroit																																																						
																							Alabama	Lamar	Kennedy																																																						
																							Alabama	Lamar	Millport																																																						
																							Alabama	Lamar	Sulligent																																																						
																							Alabama	Lamar	Vernon																																																						
																							Alabama	Lauderdale				1	77			92682		#DIV/0!	783	https://www.zillow.com/lauderdale-county-al/	733	http://www.homes.com/for-sale/lauderdale-county-al/						http://isv.kcsgis.com/al.lauderdale_revenue/																																			
																							Alabama	Lauderdale	Florence																																																						
																							Alabama	Lauderdale	Killen																																																						
																							Alabama	Lauderdale	Lexington																																																						
																							Alabama	Lauderdale	Rogersville																																																						
																							Alabama	Lauderdale	St. Florian																																																						
																							Alabama	Lauderdale	Waterloo																																																						
																							Alabama	Lawrence				1	79			33777		#DIV/0!	220	https://www.zillow.com/lawrence-county-al/	217	http://www.homes.com/for-sale/lawrence-county-al/						http://isv.kcsgis.com/al.lawrence_revenue/																																			
																							Alabama	Lawrence	Courtland																																																						
																							Alabama	Lawrence	Hillsboro																																																						
																							Alabama	Lawrence	Lakeview																																																						
																							Alabama	Lawrence	Moulton																																																						
																							Alabama	Lawrence	North Courtland																																																						
																							Alabama	Lawrence	Town Creek																																																						
																							Alabama	Lee				1	81			147808		#DIV/0!	1148	https://www.zillow.com/lee-county-al/	1279	http://www.homes.com/for-sale/lee-county-al/						http://www.alabamagis.com/Lee/frameset.cfm?cfid=826932&cftoken=45044680																																			
																							Alabama	Lee	Auburn																																																						
																							Alabama	Lee	Loachapoka																																																						
																							Alabama	Lee	Opelika																																																						
																							Alabama	Lee	Smiths Station																																																						
																							Alabama	Lee	Woodland																																																						
																							Alabama	Limestone				1	83			87384		#DIV/0!	1259	https://www.zillow.com/limestone-county-al/	1343	http://www.homes.com/for-sale/limestone-county-al/																																									
																							Alabama	Limestone	Ardmore																																																						
																							Alabama	Limestone	Athens																																																						
																							Alabama	Limestone	Elkmont																																																						
																							Alabama	Limestone	Lester																																																						
																							Alabama	Limestone	Mooresville																																																						
																							Alabama	Lowndes				1	85			10846		#DIV/0!	88	https://www.zillow.com/lowndes-county-al/	35	http://www.homes.com/for-sale/lowndes-county-al/						http://www.alabamagis.com/LOWNDES/Frameset.cfm?obj_Keys=%272209300000002000%27																																			
																							Alabama	Lowndes	Benton																																																						
